id,name,restaurantId,
1,EJECUTIVO | rest 1,1,EJECUTIVO
2,ESPECIAL | rest 1,1,ESPECIAL
3,$10.000 | rest 1,1,$10.000
4,$15.000 | rest 1,1,$15.000
5,$20.000 | rest 1,1,$20.000
6,$30.000 | rest 1,1,$30.000
7,EJECUTIVO | rest 2,2,EJECUTIVO
8,ESPECIAL | rest 2,2,ESPECIAL
9,$10.000 | rest 2,2,$10.000
10,$15.000 | rest 2,2,$15.000
11,$20.000 | rest 2,2,$20.000
12,$30.000 | rest 2,2,$30.000
13,EJECUTIVO | rest 3,3,EJECUTIVO
14,ESPECIAL | rest 3,3,ESPECIAL
15,$10.000 | rest 3,3,$10.000
16,$15.000 | rest 3,3,$15.000
17,$20.000 | rest 3,3,$20.000
18,$30.000 | rest 3,3,$30.000
19,EJECUTIVO | rest 4,4,EJECUTIVO
20,ESPECIAL | rest 4,4,ESPECIAL
21,$10.000 | rest 4,4,$10.000
22,$15.000 | rest 4,4,$15.000
23,$20.000 | rest 4,4,$20.000
24,$30.000 | rest 4,4,$30.000
25,EJECUTIVO | rest 5,5,EJECUTIVO
26,ESPECIAL | rest 5,5,ESPECIAL
27,$10.000 | rest 5,5,$10.000
28,$15.000 | rest 5,5,$15.000
29,$20.000 | rest 5,5,$20.000
30,$30.000 | rest 5,5,$30.000
31,EJECUTIVO | rest 6,6,EJECUTIVO
32,ESPECIAL | rest 6,6,ESPECIAL
33,$10.000 | rest 6,6,$10.000
34,$15.000 | rest 6,6,$15.000
35,$20.000 | rest 6,6,$20.000
36,$30.000 | rest 6,6,$30.000
37,EJECUTIVO | rest 7,7,EJECUTIVO
38,ESPECIAL | rest 7,7,ESPECIAL
39,$10.000 | rest 7,7,$10.000
40,$15.000 | rest 7,7,$15.000
41,$20.000 | rest 7,7,$20.000
42,$30.000 | rest 7,7,$30.000
43,EJECUTIVO | rest 8,8,EJECUTIVO
44,ESPECIAL | rest 8,8,ESPECIAL
45,$10.000 | rest 8,8,$10.000
46,$15.000 | rest 8,8,$15.000
47,$20.000 | rest 8,8,$20.000
48,$30.000 | rest 8,8,$30.000
49,EJECUTIVO | rest 9,9,EJECUTIVO
50,ESPECIAL | rest 9,9,ESPECIAL
51,$10.000 | rest 9,9,$10.000
52,$15.000 | rest 9,9,$15.000
53,$20.000 | rest 9,9,$20.000
54,$30.000 | rest 9,9,$30.000
55,EJECUTIVO | rest 10,10,EJECUTIVO
56,ESPECIAL | rest 10,10,ESPECIAL
57,$10.000 | rest 10,10,$10.000
58,$15.000 | rest 10,10,$15.000
59,$20.000 | rest 10,10,$20.000
60,$30.000 | rest 10,10,$30.000
61,EJECUTIVO | rest 11,11,EJECUTIVO
62,ESPECIAL | rest 11,11,ESPECIAL
63,$10.000 | rest 11,11,$10.000
64,$15.000 | rest 11,11,$15.000
65,$20.000 | rest 11,11,$20.000
66,$30.000 | rest 11,11,$30.000
67,EJECUTIVO | rest 12,12,EJECUTIVO
68,ESPECIAL | rest 12,12,ESPECIAL
69,$10.000 | rest 12,12,$10.000
70,$15.000 | rest 12,12,$15.000
71,$20.000 | rest 12,12,$20.000
72,$30.000 | rest 12,12,$30.000
73,EJECUTIVO | rest 13,13,EJECUTIVO
74,ESPECIAL | rest 13,13,ESPECIAL
75,$10.000 | rest 13,13,$10.000
76,$15.000 | rest 13,13,$15.000
77,$20.000 | rest 13,13,$20.000
78,$30.000 | rest 13,13,$30.000
79,EJECUTIVO | rest 14,14,EJECUTIVO
80,ESPECIAL | rest 14,14,ESPECIAL
81,$10.000 | rest 14,14,$10.000
82,$15.000 | rest 14,14,$15.000
83,$20.000 | rest 14,14,$20.000
84,$30.000 | rest 14,14,$30.000
85,EJECUTIVO | rest 15,15,EJECUTIVO
86,ESPECIAL | rest 15,15,ESPECIAL
87,$10.000 | rest 15,15,$10.000
88,$15.000 | rest 15,15,$15.000
89,$20.000 | rest 15,15,$20.000
90,$30.000 | rest 15,15,$30.000
91,EJECUTIVO | rest 16,16,EJECUTIVO
92,ESPECIAL | rest 16,16,ESPECIAL
93,$10.000 | rest 16,16,$10.000
94,$15.000 | rest 16,16,$15.000
95,$20.000 | rest 16,16,$20.000
96,$30.000 | rest 16,16,$30.000
97,EJECUTIVO | rest 17,17,EJECUTIVO
98,ESPECIAL | rest 17,17,ESPECIAL
99,$10.000 | rest 17,17,$10.000
100,$15.000 | rest 17,17,$15.000
101,$20.000 | rest 17,17,$20.000
102,$30.000 | rest 17,17,$30.000
103,EJECUTIVO | rest 18,18,EJECUTIVO
104,ESPECIAL | rest 18,18,ESPECIAL
105,$10.000 | rest 18,18,$10.000
106,$15.000 | rest 18,18,$15.000
107,$20.000 | rest 18,18,$20.000
108,$30.000 | rest 18,18,$30.000
109,EJECUTIVO | rest 19,19,EJECUTIVO
110,ESPECIAL | rest 19,19,ESPECIAL
111,$10.000 | rest 19,19,$10.000
112,$15.000 | rest 19,19,$15.000
113,$20.000 | rest 19,19,$20.000
114,$30.000 | rest 19,19,$30.000
115,EJECUTIVO | rest 20,20,EJECUTIVO
116,ESPECIAL | rest 20,20,ESPECIAL
117,$10.000 | rest 20,20,$10.000
118,$15.000 | rest 20,20,$15.000
119,$20.000 | rest 20,20,$20.000
120,$30.000 | rest 20,20,$30.000
121,EJECUTIVO | rest 21,21,EJECUTIVO
122,ESPECIAL | rest 21,21,ESPECIAL
123,$10.000 | rest 21,21,$10.000
124,$15.000 | rest 21,21,$15.000
125,$20.000 | rest 21,21,$20.000
126,$30.000 | rest 21,21,$30.000
127,EJECUTIVO | rest 22,22,EJECUTIVO
128,ESPECIAL | rest 22,22,ESPECIAL
129,$10.000 | rest 22,22,$10.000
130,$15.000 | rest 22,22,$15.000
131,$20.000 | rest 22,22,$20.000
132,$30.000 | rest 22,22,$30.000
133,EJECUTIVO | rest 23,23,EJECUTIVO
134,ESPECIAL | rest 23,23,ESPECIAL
135,$10.000 | rest 23,23,$10.000
136,$15.000 | rest 23,23,$15.000
137,$20.000 | rest 23,23,$20.000
138,$30.000 | rest 23,23,$30.000
139,EJECUTIVO | rest 24,24,EJECUTIVO
140,ESPECIAL | rest 24,24,ESPECIAL
141,$10.000 | rest 24,24,$10.000
142,$15.000 | rest 24,24,$15.000
143,$20.000 | rest 24,24,$20.000
144,$30.000 | rest 24,24,$30.000
145,EJECUTIVO | rest 25,25,EJECUTIVO
146,ESPECIAL | rest 25,25,ESPECIAL
147,$10.000 | rest 25,25,$10.000
148,$15.000 | rest 25,25,$15.000
149,$20.000 | rest 25,25,$20.000
150,$30.000 | rest 25,25,$30.000
151,EJECUTIVO | rest 26,26,EJECUTIVO
152,ESPECIAL | rest 26,26,ESPECIAL
153,$10.000 | rest 26,26,$10.000
154,$15.000 | rest 26,26,$15.000
155,$20.000 | rest 26,26,$20.000
156,$30.000 | rest 26,26,$30.000
157,EJECUTIVO | rest 27,27,EJECUTIVO
158,ESPECIAL | rest 27,27,ESPECIAL
159,$10.000 | rest 27,27,$10.000
160,$15.000 | rest 27,27,$15.000
161,$20.000 | rest 27,27,$20.000
162,$30.000 | rest 27,27,$30.000
163,EJECUTIVO | rest 28,28,EJECUTIVO
164,ESPECIAL | rest 28,28,ESPECIAL
165,$10.000 | rest 28,28,$10.000
166,$15.000 | rest 28,28,$15.000
167,$20.000 | rest 28,28,$20.000
168,$30.000 | rest 28,28,$30.000
169,EJECUTIVO | rest 29,29,EJECUTIVO
170,ESPECIAL | rest 29,29,ESPECIAL
171,$10.000 | rest 29,29,$10.000
172,$15.000 | rest 29,29,$15.000
173,$20.000 | rest 29,29,$20.000
174,$30.000 | rest 29,29,$30.000
175,EJECUTIVO | rest 30,30,EJECUTIVO
176,ESPECIAL | rest 30,30,ESPECIAL
177,$10.000 | rest 30,30,$10.000
178,$15.000 | rest 30,30,$15.000
179,$20.000 | rest 30,30,$20.000
180,$30.000 | rest 30,30,$30.000
181,EJECUTIVO | rest 31,31,EJECUTIVO
182,ESPECIAL | rest 31,31,ESPECIAL
183,$10.000 | rest 31,31,$10.000
184,$15.000 | rest 31,31,$15.000
185,$20.000 | rest 31,31,$20.000
186,$30.000 | rest 31,31,$30.000
187,EJECUTIVO | rest 32,32,EJECUTIVO
188,ESPECIAL | rest 32,32,ESPECIAL
189,$10.000 | rest 32,32,$10.000
190,$15.000 | rest 32,32,$15.000
191,$20.000 | rest 32,32,$20.000
192,$30.000 | rest 32,32,$30.000
193,EJECUTIVO | rest 33,33,EJECUTIVO
194,ESPECIAL | rest 33,33,ESPECIAL
195,$10.000 | rest 33,33,$10.000
196,$15.000 | rest 33,33,$15.000
197,$20.000 | rest 33,33,$20.000
198,$30.000 | rest 33,33,$30.000
199,EJECUTIVO | rest 34,34,EJECUTIVO
200,ESPECIAL | rest 34,34,ESPECIAL
201,$10.000 | rest 34,34,$10.000
202,$15.000 | rest 34,34,$15.000
203,$20.000 | rest 34,34,$20.000
204,$30.000 | rest 34,34,$30.000
205,EJECUTIVO | rest 35,35,EJECUTIVO
206,ESPECIAL | rest 35,35,ESPECIAL
207,$10.000 | rest 35,35,$10.000
208,$15.000 | rest 35,35,$15.000
209,$20.000 | rest 35,35,$20.000
210,$30.000 | rest 35,35,$30.000
211,EJECUTIVO | rest 36,36,EJECUTIVO
212,ESPECIAL | rest 36,36,ESPECIAL
213,$10.000 | rest 36,36,$10.000
214,$15.000 | rest 36,36,$15.000
215,$20.000 | rest 36,36,$20.000
216,$30.000 | rest 36,36,$30.000
217,EJECUTIVO | rest 37,37,EJECUTIVO
218,ESPECIAL | rest 37,37,ESPECIAL
219,$10.000 | rest 37,37,$10.000
220,$15.000 | rest 37,37,$15.000
221,$20.000 | rest 37,37,$20.000
222,$30.000 | rest 37,37,$30.000
223,EJECUTIVO | rest 38,38,EJECUTIVO
224,ESPECIAL | rest 38,38,ESPECIAL
225,$10.000 | rest 38,38,$10.000
226,$15.000 | rest 38,38,$15.000
227,$20.000 | rest 38,38,$20.000
228,$30.000 | rest 38,38,$30.000
229,EJECUTIVO | rest 39,39,EJECUTIVO
230,ESPECIAL | rest 39,39,ESPECIAL
231,$10.000 | rest 39,39,$10.000
232,$15.000 | rest 39,39,$15.000
233,$20.000 | rest 39,39,$20.000
234,$30.000 | rest 39,39,$30.000
235,EJECUTIVO | rest 40,40,EJECUTIVO
236,ESPECIAL | rest 40,40,ESPECIAL
237,$10.000 | rest 40,40,$10.000
238,$15.000 | rest 40,40,$15.000
239,$20.000 | rest 40,40,$20.000
240,$30.000 | rest 40,40,$30.000
241,EJECUTIVO | rest 41,41,EJECUTIVO
242,ESPECIAL | rest 41,41,ESPECIAL
243,$10.000 | rest 41,41,$10.000
244,$15.000 | rest 41,41,$15.000
245,$20.000 | rest 41,41,$20.000
246,$30.000 | rest 41,41,$30.000
247,EJECUTIVO | rest 42,42,EJECUTIVO
248,ESPECIAL | rest 42,42,ESPECIAL
249,$10.000 | rest 42,42,$10.000
250,$15.000 | rest 42,42,$15.000
251,$20.000 | rest 42,42,$20.000
252,$30.000 | rest 42,42,$30.000
253,EJECUTIVO | rest 43,43,EJECUTIVO
254,ESPECIAL | rest 43,43,ESPECIAL
255,$10.000 | rest 43,43,$10.000
256,$15.000 | rest 43,43,$15.000
257,$20.000 | rest 43,43,$20.000
258,$30.000 | rest 43,43,$30.000
259,EJECUTIVO | rest 44,44,EJECUTIVO
260,ESPECIAL | rest 44,44,ESPECIAL
261,$10.000 | rest 44,44,$10.000
262,$15.000 | rest 44,44,$15.000
263,$20.000 | rest 44,44,$20.000
264,$30.000 | rest 44,44,$30.000
265,EJECUTIVO | rest 45,45,EJECUTIVO
266,ESPECIAL | rest 45,45,ESPECIAL
267,$10.000 | rest 45,45,$10.000
268,$15.000 | rest 45,45,$15.000
269,$20.000 | rest 45,45,$20.000
270,$30.000 | rest 45,45,$30.000
271,EJECUTIVO | rest 46,46,EJECUTIVO
272,ESPECIAL | rest 46,46,ESPECIAL
273,$10.000 | rest 46,46,$10.000
274,$15.000 | rest 46,46,$15.000
275,$20.000 | rest 46,46,$20.000
276,$30.000 | rest 46,46,$30.000
277,EJECUTIVO | rest 47,47,EJECUTIVO
278,ESPECIAL | rest 47,47,ESPECIAL
279,$10.000 | rest 47,47,$10.000
280,$15.000 | rest 47,47,$15.000
281,$20.000 | rest 47,47,$20.000
282,$30.000 | rest 47,47,$30.000
283,EJECUTIVO | rest 48,48,EJECUTIVO
284,ESPECIAL | rest 48,48,ESPECIAL
285,$10.000 | rest 48,48,$10.000
286,$15.000 | rest 48,48,$15.000
287,$20.000 | rest 48,48,$20.000
288,$30.000 | rest 48,48,$30.000
289,EJECUTIVO | rest 49,49,EJECUTIVO
290,ESPECIAL | rest 49,49,ESPECIAL
291,$10.000 | rest 49,49,$10.000
292,$15.000 | rest 49,49,$15.000
293,$20.000 | rest 49,49,$20.000
294,$30.000 | rest 49,49,$30.000
295,EJECUTIVO | rest 50,50,EJECUTIVO
296,ESPECIAL | rest 50,50,ESPECIAL
297,$10.000 | rest 50,50,$10.000
298,$15.000 | rest 50,50,$15.000
299,$20.000 | rest 50,50,$20.000
300,$30.000 | rest 50,50,$30.000
301,EJECUTIVO | rest 51,51,EJECUTIVO
302,ESPECIAL | rest 51,51,ESPECIAL
303,$10.000 | rest 51,51,$10.000
304,$15.000 | rest 51,51,$15.000
305,$20.000 | rest 51,51,$20.000
306,$30.000 | rest 51,51,$30.000
307,EJECUTIVO | rest 52,52,EJECUTIVO
308,ESPECIAL | rest 52,52,ESPECIAL
309,$10.000 | rest 52,52,$10.000
310,$15.000 | rest 52,52,$15.000
311,$20.000 | rest 52,52,$20.000
312,$30.000 | rest 52,52,$30.000
313,EJECUTIVO | rest 53,53,EJECUTIVO
314,ESPECIAL | rest 53,53,ESPECIAL
315,$10.000 | rest 53,53,$10.000
316,$15.000 | rest 53,53,$15.000
317,$20.000 | rest 53,53,$20.000
318,$30.000 | rest 53,53,$30.000
319,EJECUTIVO | rest 54,54,EJECUTIVO
320,ESPECIAL | rest 54,54,ESPECIAL
321,$10.000 | rest 54,54,$10.000
322,$15.000 | rest 54,54,$15.000
323,$20.000 | rest 54,54,$20.000
324,$30.000 | rest 54,54,$30.000
325,EJECUTIVO | rest 55,55,EJECUTIVO
326,ESPECIAL | rest 55,55,ESPECIAL
327,$10.000 | rest 55,55,$10.000
328,$15.000 | rest 55,55,$15.000
329,$20.000 | rest 55,55,$20.000
330,$30.000 | rest 55,55,$30.000
331,EJECUTIVO | rest 56,56,EJECUTIVO
332,ESPECIAL | rest 56,56,ESPECIAL
333,$10.000 | rest 56,56,$10.000
334,$15.000 | rest 56,56,$15.000
335,$20.000 | rest 56,56,$20.000
336,$30.000 | rest 56,56,$30.000
337,EJECUTIVO | rest 57,57,EJECUTIVO
338,ESPECIAL | rest 57,57,ESPECIAL
339,$10.000 | rest 57,57,$10.000
340,$15.000 | rest 57,57,$15.000
341,$20.000 | rest 57,57,$20.000
342,$30.000 | rest 57,57,$30.000
343,EJECUTIVO | rest 58,58,EJECUTIVO
344,ESPECIAL | rest 58,58,ESPECIAL
345,$10.000 | rest 58,58,$10.000
346,$15.000 | rest 58,58,$15.000
347,$20.000 | rest 58,58,$20.000
348,$30.000 | rest 58,58,$30.000
349,EJECUTIVO | rest 59,59,EJECUTIVO
350,ESPECIAL | rest 59,59,ESPECIAL
351,$10.000 | rest 59,59,$10.000
352,$15.000 | rest 59,59,$15.000
353,$20.000 | rest 59,59,$20.000
354,$30.000 | rest 59,59,$30.000
355,EJECUTIVO | rest 60,60,EJECUTIVO
356,ESPECIAL | rest 60,60,ESPECIAL
357,$10.000 | rest 60,60,$10.000
358,$15.000 | rest 60,60,$15.000
359,$20.000 | rest 60,60,$20.000
360,$30.000 | rest 60,60,$30.000
361,EJECUTIVO | rest 61,61,EJECUTIVO
362,ESPECIAL | rest 61,61,ESPECIAL
